date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:34:32	6592/6592	---M--	200	added ('OK')	text/css	etag:%2290975bb431b0bc97e177770be23ecf7c%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/content_lockers/css_front.css	C:/Users/user/Documents/Movies/Black%20Widow/d13pxqgp3ixdbh.cloudfront.net/assets/content_lockers/css_front.css	(from https://getmyfile.co/95b4f6b)
07:34:33	3097/3097	---M-Z	200	added ('OK')	application/x-javascript	etag:%2232be6212505a7d28b215316e8cbc7b7b%22	http://connect.facebook.net/en_US/sdk.js	C:/Users/user/Documents/Movies/Black%20Widow/connect.facebook.net/en_US/sdk.js	(from https://getmyfile.co/95b4f6b)
07:34:35	37028/37028	---MC-	200	added ('OK')	text/html	date:Sat,%2010%20Jul%202021%2005:34:36%20GMT	https://getmyfile.co/95b4f6b?movies	C:/Users/user/Documents/Movies/Black%20Widow/getmyfile.co/95b4f6b55ba.html	(from https://getmyfile.co/95b4f6b)
07:34:36	207332/207332	---M--	200	added ('OK')	image/jpg	etag:%223b3845a79fa0d727e3f37b57aae8ff78%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/162589432461e3ceb6f7e5c2bc48d9e56d35a7c258.jpg	C:/Users/user/Documents/Movies/Black%20Widow/d13pxqgp3ixdbh.cloudfront.net/uploads/162589432461e3ceb6f7e5c2bc48d9e56d35a7c258.jpg	(from https://getmyfile.co/95b4f6b)
07:34:36	3528/3528	---M--	200	added ('OK')	image/jpg	etag:%2240d9db5d6c326e044b2d0232e08a0a92%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/14695289640b4fd4b01bad9b47a79f53815f067538.jpg	C:/Users/user/Documents/Movies/Black%20Widow/d13pxqgp3ixdbh.cloudfront.net/api_uploads/14695289640b4fd4b01bad9b47a79f53815f067538.jpg	(from https://getmyfile.co/95b4f6b)
07:34:39	289/289	---M--	200	added ('OK')	image/png	date:Sat,%2010%20Jul%202021%2002:55:50%20GMT	https://www.facebook.com/images/ufi/fbfeed/like.png	C:/Users/user/Documents/Movies/Black%20Widow/www.facebook.com/images/ufi/fbfeed/like.png	(from https://getmyfile.co/95b4f6b)
07:34:39	2277457/2277457	---M--	200	added ('OK')	image/png	etag:%221f6d4e62a89c42914db40994fcfcba0b%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/thumbnail.png	C:/Users/user/Documents/Movies/Black%20Widow/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/thumbnail.png	(from https://getmyfile.co/95b4f6b)
07:34:39	3985/3985	---M--	200	added ('OK')	image/jpg	etag:%22f1a04c66143005a5c473bdfbe3dc644e%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528964ca399c687c1e6b531460d5a28288799f.jpg	C:/Users/user/Documents/Movies/Black%20Widow/d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528964ca399c687c1e6b531460d5a28288799f.jpg	(from https://getmyfile.co/95b4f6b)
07:34:39	4252/4252	---M--	200	added ('OK')	image/jpg	etag:%22781fac7dca612c6485f979c3e1afb1a5%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528961583b2dbf531b948eae7a4d8f97c97c7c.jpg	C:/Users/user/Documents/Movies/Black%20Widow/d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528961583b2dbf531b948eae7a4d8f97c97c7c.jpg	(from https://getmyfile.co/95b4f6b)
07:34:39	3718/3718	---M--	200	added ('OK')	image/jpg	etag:%220eb4ae52eacc725b00992b0b5c63a985%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/146952895535e152e41f29c290f51c3044fb62a025.jpg	C:/Users/user/Documents/Movies/Black%20Widow/d13pxqgp3ixdbh.cloudfront.net/api_uploads/146952895535e152e41f29c290f51c3044fb62a025.jpg	(from https://getmyfile.co/95b4f6b)
